Date,BTC-USD,ETH-USD,USDT-USD,BNB-USD,SOL-USD,XRP-USD,USDC-USD,DOGE-USD,ADA-USD,AVAX-USD,SHIB-USD,DOT-USD,BCH-USD,LINK-USD,TRX-USD,MATIC-USD,ICP-USD,UNI-USD,NEAR-USD,LTC-USD,LEO-USD,DAI-USD,STX-USD,FIL-USD,ATOM-USD
2021-05-10,55859.796875,3952.2939453125,1.0001369714736938,631.3519897460938,42.90963363647461,1.3890060186386108,1.0000170469284058,0.4499639868736267,1.6446959972381592,34.70148849487305,3.5000000934815034e-05,36.541770935058594,1321.401123046875,46.46869659423828,0.1271589994430542,0.8750690221786499,428.3623046875,36.38795471191406,4.69832181930542,359.3293151855469,3.4891490936279297,1.000296950340271,1.7334890365600586,135.71929931640625,25.336286544799805
2021-05-11,56704.57421875,4168.701171875,0.9999669790267944,672.3339233398438,44.57746887207031,1.4776819944381714,1.0001670122146606,0.4952310025691986,1.7640769481658936,36.82477951049805,3.099999958067201e-05,38.64228439331055,1542.425048828125,48.754764556884766,0.13882599771022797,1.069219946861267,364.78997802734375,38.4899787902832,4.938528060913086,377.3887939453125,3.758847951889038,1.0005780458450317,1.886888027191162,143.1260986328125,26.905967712402344
2021-05-12,49150.53515625,3785.8486328125,0.9999930262565613,588.1851806640625,42.45730972290039,1.247864007949829,1.0000970363616943,0.3853760063648224,1.5527750253677368,32.0162467956543,1.8000000636675395e-05,34.03139114379883,1209.806884765625,41.03371047973633,0.11869899928569794,1.0190140008926392,255.49424743652344,36.03806686401367,4.6448822021484375,303.0848693847656,3.8905179500579834,0.9998170137405396,1.6347260475158691,126.86040496826172,22.67820930480957
2021-05-13,49716.19140625,3715.1484375,0.9998679757118225,571.4345092773438,40.99785232543945,1.3589099645614624,0.9998239874839783,0.49037399888038635,1.9336680173873901,34.98023986816406,2.099999983329326e-05,40.031654357910156,1251.692138671875,43.0898323059082,0.12147299945354462,1.0531539916992188,300.0203857421875,37.36915969848633,5.480801105499268,316.9093322753906,3.4021599292755127,1.0006649494171143,1.5920310020446777,117.70317077636719,23.54801368713379
2021-05-14,49880.53515625,4079.057373046875,0.9999650120735168,603.1282958984375,42.717864990234375,1.4029170274734497,0.9999619722366333,0.5596039891242981,2.004796028137207,36.951202392578125,1.8999999156221747e-05,47.94593811035156,1298.664794921875,46.54690170288086,0.12477599829435349,1.470762014389038,304.1851806640625,40.32621383666992,5.733189105987549,326.2338562011719,3.3304030895233154,0.9998639822006226,1.6759699583053589,120.49752044677734,25.76825714111328
2021-05-15,46760.1875,3638.1220703125,0.9998229742050171,563.0416870117188,43.461307525634766,1.4858800172805786,1.0000900030136108,0.507972002029419,2.1740269660949707,34.41056442260742,1.5999999959603883e-05,43.538631439208984,1170.348388671875,41.498313903808594,0.12069100141525269,1.608185052871704,246.02374267578125,36.57718276977539,5.964521884918213,299.77252197265625,3.6478428840637207,0.9992640018463135,1.570162057876587,110.35968017578125,24.57972526550293
2021-05-16,46456.05859375,3587.506103515625,0.9999750256538391,562.829833984375,47.200828552246094,1.452605962753296,1.000154972076416,0.5148950219154358,2.309113025665283,36.5188102722168,1.8000000636675395e-05,42.63151168823242,1168.72900390625,40.73714828491211,0.11950600147247314,1.714745044708252,225.08676147460938,36.56150436401367,5.864715099334717,296.6270446777344,3.579962968826294,1.0001579523086548,1.5203700065612793,107.6959228515625,24.323753356933594
2021-05-17,43537.51171875,3282.397705078125,0.9998019933700562,511.9643859863281,46.86320495605469,1.4962999820709229,1.000100016593933,0.4878920018672943,2.032226085662842,33.662254333496094,1.5999999959603883e-05,38.71015930175781,1068.6568603515625,37.19443893432617,0.1128700003027916,1.7279729843139648,195.94810485839844,33.28563690185547,5.703657150268555,281.7693176269531,3.277338981628418,1.0002080202102661,1.3575259447097778,99.48632049560547,21.10904312133789
2021-05-18,42909.40234375,3380.070068359375,1.0006799697875977,508.0223083496094,55.91096115112305,1.5907340049743652,1.0000180006027222,0.47611498832702637,2.003662109375,36.82215881347656,1.5999999959603883e-05,40.645355224609375,1091.5501708984375,42.54531478881836,0.11638599634170532,2.45436692237854,164.36183166503906,35.07202911376953,5.678810119628906,294.61932373046875,2.845741033554077,1.000167965888977,1.3850680589675903,100.09148406982422,22.823762893676758
2021-05-19,37002.44140625,2460.67919921875,1.0016160011291504,339.0254821777344,35.107181549072266,1.0703129768371582,0.999925971031189,0.33312299847602844,1.4825210571289062,23.383895874023438,9.000000318337698e-06,25.227142333984375,706.7958374023438,26.70195960998535,0.07933200150728226,1.6593899726867676,124.2806167602539,23.42795753479004,3.6441550254821777,189.52017211914062,2.7926828861236572,1.0006389617919922,0.9200819730758667,65.36085510253906,13.937352180480957
2021-05-20,40782.73828125,2784.294189453125,1.001852035522461,393.6127624511719,44.74274826049805,1.1855369806289673,0.9998800158500671,0.400193989276886,1.8104690313339233,25.196884155273438,9.999999747378752e-06,29.150569915771484,821.6005249023438,30.78122901916504,0.08959700167179108,1.8414510488510132,165.56182861328125,26.394573211669922,4.210082054138184,212.27613830566406,2.9434309005737305,1.0011249780654907,1.0748820304870605,89.0090103149414,16.998430252075195
2021-05-21,37304.69140625,2430.621337890625,1.0018880367279053,326.29632568359375,38.81285095214844,1.0069760084152222,1.0004169940948486,0.3593820035457611,1.5522769689559937,21.801769256591797,7.999999979801942e-06,24.463970184326172,687.9571533203125,25.577577590942383,0.07792100310325623,1.4823360443115234,146.15252685546875,21.901260375976562,3.467150926589966,180.19703674316406,2.5814061164855957,1.001471996307373,1.0105140209197998,76.72123718261719,13.562067985534668
